\nSpecify point or [Exit/Multiple/Undo] <Exit>:,\nUrčit bod nebo [Konec/Násobně/Zpět] <Konec>:
\nSpecify point or [Exit/Undo] <Next object>:,\nUrčit bod nebo [Konec/Zpět] <další objekt>:
\nSpecify preview rotation angle <0>:,\nUrčete předchozí úhel natočení <0>:
\nSpecify preview scale factor for X <1>:,\nUrčete faktor měřítka náhledu pro X <1>:
\nSpecify preview scale factor for XYZ axes <1>:,\nUrčete měřítko v osách XYZ náhledu <1>:
\nSpecify preview scale factor for Y <1>:,\nUrčete faktor měřítka náhledu pro Y <1>:
\nSpecify preview scale factor for Z <1>:,\nUrčete faktor měřítka náhledu pro Z <1>:
\nSpecify preview X scale factor <1>:,\nUrčete předchozí X faktor měřítka <1>:
\nSpecify preview Y scale factor <1>:,\nUrčete předchozí Y faktor měřítka<1>:
\nSpecify preview Z scale factor <1>:,\nUrčete předchozí Z faktor měřítka<1>:
\nSpecify radius dimension location or [%ls]:,\nUrčete umístění kóty poloměru nebo [%ls]:
\nSpecify radius of base of cone or [Diameter]:,\nUrčit poloměr základny kuželu nebo [Průměr]:
\nSpecify radius of base or [Diameter]:,\nUrčete poloměr základny nebo [Průměr]:
\nSpecify radius of body of torus or [Diameter]:,\nUrčit poloměr těla anuloidu nebo [Průměr]:
\nSpecify radius of cylinder or [Diameter]:,\nUrčit poloměr válce nebo [Průměr]:
\nSpecify radius of dish or [Diameter]:,\nUrčit poloměr polokoule nebo [Průměr]:
\nSpecify radius of dome or [Diameter]:,\nUrčit poloměr nebo [Průměr]:
\nSpecify radius of parameter:,\nUrčete poloměr parametru:
\nSpecify radius of top surface or [Diameter] <0>:,\nUrčit poloměr horní plochy nebo [Průměr] <0>:
\nSpecify radius of whole torus or [Diameter]:,\nUrčit poloměr celého anuloidu nebo [Průměr]:
\nSpecify ray casting angle <%ls>:,\nUrčit úhel umístění polopřímky <%ls>:
\nSpecify Ray starting point or [Bisect/Horizontal/Vertical/Angle/Offset]:,\nZadejte počáteční bod polopřímky nebo [Polovinu/Hor/Ver/úheL/Ekvid]:
\nSpecify rectangle elevation or [Default] <%ls>:,\nUrčete výšku obdélníku [Výchozí] <%ls>:
\nSpecify rectangle length or [Angle] <%ls>:,\nZadejte délku obdélníku nebo [Úhel] <%ls>:
\nSpecify rectangle thickness or [Default] <%ls>:,\nUrčete tloušťku obdélníku nebo [Výchozí] <%ls>:
\nSpecify rectangle width <%ls>:,\nUrčete tloušťku obdélníku <%ls>:
\nSpecify rectangle width or [Default pline width] <%ls>:,\nUrčete tloušťku obdélníku nebo [Výchozí tloušťka křivky] <%ls>:
\nSpecify reference angle <%ls>:,\nUrčit nový referenční úhel <%ls>:
\nSpecify reference length <%.16q0>:,\nVyberte referenční délku <%.16q0>:
\nSpecify reference length <%ls>:,\nUrčete referenční délku <%ls>:
\nSpecify right up corner:,\nUrčete pravý horní roh:
\nSpecify rotation angle <%ls>:,\nUrčit úhel natočení <%ls>:
\nSpecify rotation angle <0>:,\nUrčit úhel natočení <0>:
\nSpecify rotation angle or [Pick points] <%ls>:,\nUrčit úhel natočení nebo [Označit body] <%ls>:
\nSpecify rotation angle or [Reference] <%ls>:,\nUrčit úhel natočení nebo [Reference] <%ls>:
\nSpecify rotation angle or [Reference]:,\nZadejte úhel rotace nebo [Reference]:
\nSpecify scale factor <%g>:,\nUrčit měřítko <%g>:
\nSpecify scale factor <1.0>:,\nUrčit měřítko <1.0>:
\nSpecify scale factor <1>:,\nZadejte faktor měřítka <1>:
\nSpecify scale factor for X <1>:,\nUrčete faktor měřítka pro X <1>:
\nSpecify scale factor for XYZ axes <1>:,\nUrčete faktor měřítka pro osy XYZ <1>:
\nSpecify scale factor for Y <1>:,\nUrčete faktor měřítka pro Y <1>:
\nSpecify scale factor for Z <1>:,\nUrčete faktor měřítka pro Z <1>:
\nSpecify scale factor or [Reference] <%ls>:,\nUrčete faktor Měřítka nebo [Reference] <%ls>:
\nSpecify scale factor or [Unit] <1>:,\nZadejte faktor měřítka nebo [Jednotka] <1>:
\nSpecify searching area:,\nUrčete oblast hledání:
\nSpecify second break point:,\nVyberte druhý bod přerušení:
\nSpecify second corner point:,\nUrčete bod druhého rohu:
\nSpecify second corner:,\nUrčete druhý roh:
\nSpecify second destination point:,\nUrčit druhý cílový bod:
\nSpecify second extension line origin or [Undo]:,\nUveďte počátek druhé vynášecí čáry nebo [Zpět]:
\nSpecify second point on axis:,\nUrčit druhý bod na ose:
\nSpecify second point on plane:,\nUrčit druhý bod na rovině:
\nSpecify second point or [adjust Number of copies]:,\nUrčete druhý bod nebo [upravit Počet kopií]:
\nSpecify second point or [Array/mEasure/dIvide/Path] <use first point as displacement>:,\nUrčete druhý bod nebo [Pole/Měření/Dělení/Cesta] <použijte první bod jako přemístění>:
\nSpecify second point or [Array]:,\nUrčete druhý bod nebo [Pole]:
\nSpecify second point or [Fit]:,\nUrčete druhý bod nebo [Přizpůsobení]:
\nSpecify second point or [Invisible]:,\nUrčete druhý bod nebo [Neviditelný]:
\nSpecify second point:,\nUrčete druhý bod:
\nSpecify second point:,\nZadejte druhý bod:
\nSpecify second side of angle or [%ls]:,\nUrčete druhou stranu úhlu nebo [%ls]:
\nSpecify second source point:,\nUrčit druhý zdrojový bod:
\nSpecify selection set for action,\nUrčete nastavení výběru pro akci
\nSpecify selection set for action object [New/Modify] <New>:,\nUrčete nastavení výběru pro objekt akce [Nový/Upravit] <Nový>:
"\nSpecify snap spacing (isometric, y = %ls) or [OFF/Rotate/Style/Type]:","\nUrčete rozteč kroku (izometrický, y = %ls) nebo [VYPnout/Otoč/Styl/Typ]:"
"\nSpecify snap spacing (isometric, y = %ls) or [ON/Rotate/Style/Type]:","\nUrčete rozteč kroku (izometrický, y = %ls) nebo [ZAPnout/Otoč/Styl/Typ]:"
"\nSpecify snap spacing (x = %ls, y = %ls) or [OFF/Rotate/Style/Type/Equal] <Aspect>:","\nUrčete rozteč kroku (x = %ls, y = %ls) nebo [VYPnout/Otoč/Styl/Typ/STejný] <Aspekt>:"
"\nSpecify snap spacing (x = %ls, y = %ls) or [ON/Rotate/Style/Type/Equal] <Aspect>:","\nUrčete rozteč kroku (x = %ls, y = %ls) nebo [ZAPnout/Otoč/Styl/Typ/STejný] <Aspekt>:"
\nSpecify snap spacing (x and y = %ls) or [OFF/Rotate/Style/Type/Aspect]:,\nUrčete rozteč kroku (x a y = %ls) nebo [VYPnout/Otoč/Styl/Typ/Aspekt]:
\nSpecify snap spacing (x and y = %ls) or [ON/Rotate/Style/Type/Aspect]:,\nUrčete rozteč kroku (x a y = %ls) nebo [ZAPnout/Otoč/Styl/Typ/Aspekt]:
\nSpecify snap spacing or [Aspect] <%ls>:,\nUrčete rozteč kroku nebo [Aspekt] <%ls>:
\nSpecify source objects:,\nUrčete zdrojové objekty:
\nSpecify space between columns <%ls>:,\nUrčete mezeru mezi sloupci <%ls>:
\nSpecify spacing <%f>:,\nZadejte řádkování <%f>:
\nSpecify start angle,\nUrčete počáteční úhel
\nSpecify start angle <%ls>:,\nUrčete počáteční úhel <%ls>:
\nSpecify start object for chain selection [mOde/Precision/Undo]:,\nUrčete počáteční objekt pro výběr řetězce [Režim/Přesnost/Zpět]:
\nSpecify start point for axis of revolution or define axis by [Object/Xaxis/Yaxis/Zaxis] <Object>:,\nUrčete počáteční bod pro osu otáčení nebo definujte osu pomocí [Objekt/Xosa/Yosa/Zosa] <Objekt>:
\nSpecify start point for axis of revolution or define axis by [Object/Xaxis/Yaxis] <Object>:,\nUrčete počáteční bod pro osu otáčení nebo definujte osu pomocí [Objekt/Xosa/Yosa] <Objekt>:
\nSpecify start point of direction:,\nUrčete počáteční bod směru:
\nSpecify start point of slicing plane or [planar Object/Surface/Zaxis/View/XY/YZ/ZX/3points] <3points>:,\nUrčete počáteční bod řezové roviny nebo [rovinný Objekt/Povrch/Zosa/Pohled/XY/YZ/ZX/3body] <3body>:
\nSpecify start point or [Name/Label/Chain/Description/Base/Palette/Value set]:,\nUrčete počáteční bod nebo [Název/Štítek/Řetězec/Popis/Základní/pAleta/Hodnota nastavení]:
\nSpecify start reference length <%ls>:,\nUrčete počáteční délku reference <%ls>:
\nSpecify start reference length <1.0000>:,\nUrčete počáteční délku reference <1.0000>:
\nSpecify stretch point or [Basepoint/Copy/Undo/eXit]:,\nZadejte bod protáhnutí nebo [referenční Bod/Kopie/Zpět/konEc]:
\nSpecify Tangent or [System Default]:,\nUrčete Tečnu nebo [výchozí nastavení Systémová]:
\nSpecify text insertion point:,\nUrčete vkládací bod textu:
\nSpecify text width <%f>:,\nUrčit šířku textu <%f>:
\nSpecify the alignment for the dimension line:,\nUrčete zarovnání pro kótovací čáru:
\nSpecify the alignment for the endpoint of the extension line:,\nUrčete zarovnání pro koncový bod vynášecí čáry:
\nSpecify the angle of array:,\nUrčit úhel pole:
\nSpecify the angle of dimension line <%ls>:,\nZadejte úhel kótovací čáry <%ls>:
\nSpecify the angle of dimension text:,\nZadat úhel textu kóty:
\nSpecify the angle of segment:,\nUrčete úhel segmentu:
\nSpecify the angle of text:,\nUrčete úhel textu:
\nSpecify the angle relative to the first line <%ls>:,\nUrčete úhel vzhledem k první úsečce <%ls>:
\nSpecify the angle relative to the reference <%ls>:,\nUrčete úhel vzhledem k referenci <%ls>:
"\nSpecify the angle to fill (+ for ccw, - for cw) <360>:","\nZadejte úhel vyplnění (+=pshr, -=vshr) <360>:"
\nSpecify the angle:,\nUrčit úhel:
\nSpecify the apex of tetrahedron or [Top surface]:,\nUrčete vrchol čtyřstěnu nebo [Horní povrch]:
\nSpecify the approximate arc length <%ls>:,\nZadejte přibližnou délku oblouku <%ls>:
\nSpecify the association point of leader <next>:,\nUrčete bod připojení pozice <další>:
\nSpecify the axis end of ellipse:,\nUrčete konec osy elipsy:
\nSpecify the back clipping point or [Distance/Remove]:,"\nUrčit zadní bod oříznutí, nebo [vzDálenost/Vymaž]:"
\nSpecify the base point <,\nUrčit základní bod <
\nSpecify the base point for new block or [Annotative/mOde]:,\nUrčete referenční bod pro nový blok nebo [Poznámkový/Režim]:
"\nSpecify the base point for snap grid <%ls,%ls>:","\nUrčete základní bod pro mřížku kroku <%ls,%ls>:"
\nSpecify the base point or [Displacement/mOde/Multiple] <Displacement>:,\nZadejte referenční bod nebo [Posunutí/rEžim/Násobně] <Posunutí>:
\nSpecify the base point or [Displacement/mOde] <Displacement>:,\nZadejte referenční bod nebo [Posunutí/rEžim] <Posunutí>:
\nSpecify the base point or [Displacement/Multiple] <Displacement>:,\nUrčete referenční bod nebo [Posunutí/Násobně] <Posunutí>:
\nSpecify the base point or [Displacement] <Displacement>:,\nUrčete referenční bod nebo [Posunutí] <Posunutí>:
\nSpecify the base point:,\nUrčit základní bod:
\nSpecify the basepoint of dimension:,\nUrčete základní bod kóty:
\nSpecify the bottom-center point of text:,\nZadejte dolní centrový bod textu:
\nSpecify the bottom-left point of text:,\nZadejte dolní levý bod textu:
\nSpecify the bottom-right point of text:,\nZadejte dolní pravý bod textu:
\nSpecify the break point:,\nUrčete bod přerušení:
\nSpecify the center location:,\nUrčete střed umístění:
\nSpecify the center of arc:,\nUrčete střed oblouku:
"\nSpecify the center of base of cylinder or [Elliptical] <0,0,0>:","\nUrčit centr základny válce nebo [Eliptický] <0,0,0>:"
\nSpecify the center of donut or <exit>:,\nUrčete střed prstenu nebo <konec>:
\nSpecify the center of ellipse or [Offset]:,\nUrčete střed elipsy nebo [Odsazení]:
\nSpecify the center of polar array or [Base]:,\nUrčete střed kruhového pole nebo [Základ]:
\nSpecify the center of polygon or [Edge]:,\nUrčete střed polygonu nebo [Strana]:
\nSpecify the center of polygon or [Offset]:,\nUrčete střed polygonu nebo [Odsazení]:
\nSpecify the center of polygon:,\nUrčete střed mnohoúhelníku:
\nSpecify the center of rectangle or [Offset]:,\nUrčete střed obdélníku nebo [Odsazení]:
\nSpecify the center or [Hidden lines/Scale/Visibility/Boundary/model Edge/Annotation] <Boundary>:,\nUrčete střed nebo [Skryté čáry/Měřítko/Viditelnost/Hranice/Okraj modelu/Poznámka] <Hranice>:
\nSpecify the center point of arc (hold Ctrl to switch direction) or [Angle/Direction/Radius]:,\nUrčete střed oblouku (pro přepnutí směru držte Ctrl) nebo [úHel/Vektor/Rádius]:
\nSpecify the center point of arc (hold Ctrl to switch direction):,\nUrčete střed oblouku (pro přepnutí směru držte Ctrl):
\nSpecify the center point of array:,\nUrčit středový bod pole:
\nSpecify the center point of base or [3P/2P/Ttr/Elliptical]:,\nUrčete středový bod základny nebo [3B/2B/Ttp/Eliptický]:
\nSpecify the center point of circle or [Arc length/Object/Rectangular/Polygonal/Ellipse/Circle/Freehand/Style/Modify] <Object>:,\nUrčete střed kružnice nebo [délka oBlouku/Objekt/obDélníkový/Polygonální/Elipsa/Kružnice/Volná ruka/Styl/Upravit] <Objekt>:
\nSpecify the center point of text:,\nZadejte centrový bod textu:
\nSpecify the center point or [3P/2P/Ttr (tangency tangency radius)]:,\nUrčete bod středu nebo [3B/2B/Ttp (tečna tečna poloměr)]:
\nSpecify the center point:,\nUrčete bod středu:
\nSpecify the center:,\nUrčete střed:
\nSpecify the chamfer distance on base entity <%ls>:,\nUrčete vzdálenost zkosení na základní entitě <%ls>:
\nSpecify the chamfer distance on the other entity <%ls>:,\nUrčete vzdálenost zkosení na další entitě <%ls>:
\nSpecify the change point or [Properties]:,\nUrčete bod změny nebo [Vlastnosti]:
\nSpecify the chord direction of arc (hold Ctrl to switch direction) <%ls>:,\nUrčete tečný směr oblouku (pro přepnutí směru držte Ctrl) <%ls>:
\nSpecify the circumcircle radius of rectangle <%ls>:,\nUrčete poloměr opsané kružnice obdélníku <%ls>:
\nSpecify the circumcircle radius of rectangle or [Offset/Undo] <%ls>:,\nUrčete poloměr opsané kružnice obdélníku nebo [Odsazení/Zpět] <%ls>:
\nSpecify the control point <exit>:,\nUrčit řídící bod <konec>:
\nSpecify the corner of viewport or [ON/OFF/Fit/Lock/NEw/Entity/Polygonal/LAyer/2/3/4] <Fit>:,\nUrčete roh výřezu nebo [ZAPnout/VYPnout/přizpůSobit/Uzamknout/Nový/Objekt/Křivkový/Hladina/2/3/4] <přizpůSobit>:
"\nSpecify the corner of wedge or [Center] <%ls,%ls,%ls>:","\nUrčete roh klínu nebo [Střed] <%ls,%ls,%ls>:"
\nSpecify the corner of wedge or [Cube/Length]:,\nUrčete roh klínu nebo [Krychle/Délka]:
"\nSpecify the corner of window, enter a scale factor (nX or nXP), or \n[All/Center/Dynamic/Extents/Previous/Scale/Window/Object] <real time>:","\nUrčete roh okna, zadejte faktor měřítka (nX nebo nXP), nebo \n[Vše/Střed/Dynamický/Maximálně/Předchozí/měříTko/Okno/oBjekt] <rychlý>:"
"\nSpecify the corner of window, enter a scale factor (nX or nXP), or \n[All/Center/Left/Extents/Previous/Scale/Window/Vmax] <real time>:","\nUrčete roh okna, zadejte faktor měřítka (nX nebo nXP), nebo \n[Vše/Střed/Levý/Maximálně/Předchozí/měříTko/Okno/VMax] <rychlý>:"
\nSpecify the corner or [Cube/Length]:,\nZadejte roh nebo [Krychle/Délka]:
\nSpecify the depth of section view or [Full] <Full>:,\nUrčete hloubku zobrazení řezu nebo [Plný] <Plný>:
\nSpecify the diameter of circle,\nUrčete průměr kružnice
\nSpecify the diameter of the circle,\nUrčete průměr kružnice
\nSpecify the diameter or [Radius]:,\nZadejte průměr nebo [poloměR]:
\nSpecify the direction of 3D world space:,\nUrčit 3D globální směr prostoru:
\nSpecify the direction of chord <%ls>:,\nUrčete směr tětivy <%ls>:
\nSpecify the displacement <%ls>:,\nUrčit posunutí <%ls>:
\nSpecify the displacement of 3D world space:,\nUrčit 3D globální posunutí prostoru:
\nSpecify the displacement of second point or <use first point as displacement>:,\nUrčete druhý bod posunutí nebo <použít první bod jako posunutí>:
\nSpecify the distance between columns (|||):,\nZadejte vzdálenost mezi sloupci (|||):
\nSpecify the distance between levels (...):,\nUrčete vzdálenost mezi úrovněmi (...):
\nSpecify the distance between rows (---):,\nZadejte vzdálenost mezi řádky (---):
\nSpecify the distance for segment:,\nUrčete vzdálenost pro segment:
\nSpecify the distance:,\nUrčit vzdálenost:
\nSpecify the dynamic block reference to replace:,"\nUrčete referenci dynamického bloku, který se má nahradit:"
\nSpecify the dynamic block to convert:,"\nUrčete dynamický blok, který se má převést:"
\nSpecify the elevation to use for all rectangles <%ls>:,\nUrčete stoupání k použití pro všechny obdélníky <%ls>:
\nSpecify the end angle or [Parameter/Included]:,\nZadejte koncový úhel nebo [Parametr/Sevřený]:
\nSpecify the end parameter or [Angle/Included]:,\nZadejte koncový parametr nebo [úhEl/Sevřený]:
\nSpecify the end point of text:,\nUrčete koncový bod textu:
\nSpecify the end point or input a value:,"\nUrčete koncový bod, nebo zadejte hodnotu:"
\nSpecify the end tangent or [System default]:,\nUrčit koncovou tangentu nebo [Systémová výchozí]:
\nSpecify the end tangent:,\nZadejte koncovou tangentu:
\nSpecify the ending angle:,\nZadejte koncový úhel:
\nSpecify the ending half-width <%ls>:,\nUrčete koncovou polotloušťku <%ls>:
\nSpecify the ending width <%ls>:,\nUrčete koncovou tloušťku <%ls>:
\nSpecify the endpoint of arc (hold Ctrl to switch direction) or [Angle/chord Length]:,\nUrčete koncový bod oblouku (pro přepnutí směru držte Ctrl) nebo [úHel/Délka tětivy]:
\nSpecify the endpoint of arc (hold Ctrl to switch direction) or [Angle/Length]:,\nUrčete koncový bod oblouku (pro přepnutí směru držte Ctrl) nebo [úHel/Délka]:
